Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Player-additional
190,DJ Turner,23,CIN,CB,17,12,0,0,0,0,7,0,0,1,28,0,1.0,50,40,10,2,1,0,,TurnDJ01
191,Carrington Valentine,22,GNB,CB,17,12,0,0,0,0,9,0,0,1,50,0,0.0,44,33,11,0,0,0,,ValeCa00
192,DeMarcus Walker,29,CHI,DL,17,12,0,0,0,0,0,0,0,0,0,0,3.5,30,17,13,9,16,0,,WalkDe03
193,Pharaoh Brown,29,NWE,TE,17,11,0,0,0,0,0,0,1,0,0,0,0.0,3,2,1,0,0,0,,BrowPh01
194,Broderick Jones,22,PIT,T,17,11,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,JoneBr09
195,Malcolm Koonce,25,LVR,DE,17,11,0,0,0,0,0,3,0,0,0,0,8.0,43,32,11,9,17,0,,KoonMa00
196,Chigoziem Okonkwo,24,TEN,TE,17,11,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,0,0,,OkonCh00
197,Jonathan Owens,28,GNB,S,17,11,0,0,0,0,3,1,0,1,27,1,1.0,84,58,26,2,1,0,,OwenJo01
198,Ivan Pace,23,MIN,LB,17,11,1,0,0,0,2,1,0,1,6,0,2.5,102,63,39,2,9,0,,PaceIv00
199,Joey Porter Jr.,23,PIT,CB,17,11,1,0,0,0,10,0,0,0,0,0,0.0,43,32,11,1,0,0,AP DRoY-5,PortJo02
200,Geno Stone,24,BAL,SS/FS,17,11,7,101,0,36,9,0,0,0,0,0,0.0,68,44,24,0,0,0,,StonGe00
201,Tuli Tuipulotu,21,LAC,OLB,17,11,0,0,0,0,1,2,0,1,0,0,4.5,53,37,16,8,12,0,,TuipTu00
202,Andrew Van Ginkel,28,MIA,LOLB,17,11,1,33,1,33,8,0,0,1,29,0,6.0,69,42,27,8,19,0,,VanGAn00
203,Leo Chenal,23,KAN,LB,17,10,0,0,0,0,1,0,0,0,0,0,3.0,65,40,25,8,7,0,,ChenLe00
204,Tyrel Dodson,25,BUF,LB,17,10,0,0,0,0,2,1,0,1,0,0,2.5,74,57,17,8,6,0,,DodsTy01
205,Noah Gray,24,KAN,TE,17,10,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,GrayNo00
206,Jaylon Jones,21,IND,CB,17,10,0,0,0,0,5,0,0,0,0,0,0.0,44,33,11,1,0,0,,JoneJa13
207,Harold Landry,27,TEN,OLB,17,10,0,0,0,0,0,0,0,0,0,0,10.5,70,45,25,14,21,0,,LandHa00
208,Drew Sample,27,CIN,TE,17,10,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,SampDr00
209,Jack Sanborn,23,CHI,LB,17,10,1,42,0,42,2,0,0,0,0,0,1.0,65,43,22,7,1,0,,SanbJa00
210,Nick Scott,28,CIN,S,17,10,0,0,0,0,0,0,0,1,0,0,0.0,57,35,22,1,1,0,,ScotNi01
211,Khalil Shakir,23,BUF,WR,17,10,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,ShakKh00
212,Devin Singletary,26,HOU,RB,17,10,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,SingDe00
213,Jack Stoll,25,PHI,TE,17,10,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,StolJa00
214,Keeanu Benton,22,PIT,DL,17,9,0,0,0,0,2,2,0,0,0,0,1.0,36,16,20,1,8,0,,BentKe00
215,Harrison Bryant,25,CLE,TE,17,9,0,0,0,0,0,0,1,0,0,0,0.0,6,5,1,0,0,0,,BryaHa00
216,Myles Bryant,25,NWE,DB,17,9,1,6,0,6,7,2,1,0,0,0,1.0,77,65,12,7,1,0,,BryaMy01
217,Gus Edwards,28,BAL,RB,17,9,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,EdwaGu00
218,Isaiah Hodgins,25,NYG,WR,17,9,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,HodgIs00
219,Arden Key,27,TEN,OLB,17,9,0,0,0,0,2,2,0,0,0,0,6.0,30,17,13,4,12,0,,KeyxAr00
220,Zyon McCollum,24,TAM,CB,17,9,0,0,0,0,9,2,0,0,0,0,0.0,68,49,19,1,0,0,,McCoZy02
221,Montez Sweat,27,2TM,DL,17,17,0,0,0,0,4,3,0,0,0,0,12.5,57,38,19,14,25,0,PB,SweaMo00
221,Montez Sweat,27,WAS,LDE,8,8,0,0,0,0,1,2,0,0,0,0,6.5,32,21,11,10,11,0,,SweaMo00
221,Montez Sweat,27,CHI,DL,9,9,0,0,0,0,3,1,0,0,0,0,6.0,25,17,8,4,14,0,,SweaMo00
222,Jihad Ward,29,NYG,OLB,17,9,0,0,0,0,0,1,0,1,7,0,5.0,24,16,8,5,9,0,,WardJi02
223,Russ Yeast,24,LAR,DB,17,9,0,0,0,0,5,0,0,0,0,0,0.0,61,37,24,0,0,0,,YeasRu00
224,Markquese Bell,24,DAL,S,17,8,0,0,0,0,4,2,0,0,0,0,0.0,94,60,34,3,0,0,,BellMa01
225,Luke Farrell,26,JAX,TE,17,8,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,FarrLu00
226,Dennis Gardeck,29,ARI,OLB,17,8,0,0,0,0,4,1,0,1,2,0,6.0,46,36,10,7,12,0,,GardDe01
227,Khaleke Hudson,26,WAS,LB,17,8,0,0,0,0,2,0,0,0,0,0,1.0,74,44,30,5,2,0,,HudsKh00
228,John Johnson,28,LAR,DB,17,8,2,44,0,42,6,0,0,0,0,0,0.0,42,24,18,0,0,0,,JohnJo10
229,Tucker Kraft,23,GNB,TE,17,8,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,,KrafTu00
230,Isaiah Likely,23,BAL,TE,17,8,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,LikeIs00
231,Jalen Mills,29,NWE,DB,17,8,0,0,0,0,1,1,0,0,0,0,0.0,45,26,19,1,1,0,,MillJa02
232,Rondale Moore,23,ARI,WR,17,8,0,0,0,0,0,0,1,2,0,0,0.0,0,0,0,0,0,0,,MoorRo02
233,Trey Palmer,22,TAM,WR,17,8,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,,PalmTr00
234,MyCole Pruitt,31,ATL,TE,17,8,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,PruiMy00
235,Isaac Yiadom,27,NOR,CB,17,8,1,0,0,0,14,0,0,1,0,0,0.0,37,25,12,0,0,0,,YiadIs00
236,Mo Alie-Cox,30,IND,TE,17,7,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,AlieMo00
237,Jordan Battle,23,CIN,S,17,7,1,0,0,0,5,0,0,0,0,0,2.0,71,43,28,4,3,0,,BattJo00
238,Taven Bryan,27,IND,DT,17,7,0,0,0,0,0,1,0,0,0,0,2.0,22,12,10,4,1,0,,BryaTa00
239,Chamarri Conner,23,KAN,DB,17,7,1,4,0,4,1,0,0,0,0,0,0.0,36,31,5,2,0,0,,ConnCh01
240,Raekwon Davis,26,MIA,DT,17,7,0,0,0,0,0,0,0,0,0,0,0.5,28,15,13,2,6,0,,DaviRa03
241,YaYa Diaby,24,TAM,OLB,17,7,0,0,0,0,0,1,0,2,-2,0,7.5,38,25,13,12,8,0,AP DRoY-5,DiabYa00
242,Adam Gotsis,31,JAX,DL,17,7,0,0,0,0,4,0,0,0,0,0,1.0,26,18,8,3,7,0,,GotsAd00
243,Shelby Harris,32,CLE,DT,17,7,0,0,0,0,5,1,0,0,0,0,1.5,28,17,11,6,3,0,,HarrSh00
244,Connor Heyward,24,PIT,TE,17,7,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,HeywCo00
245,Jalin Hyatt,22,NYG,WR,17,7,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,HyatJa00
246,K'Von Wallace,26,2TM,FS,17,12,1,2,0,2,6,0,0,0,0,0,0.0,89,62,27,1,1,0,,WallKV00
246,K'Von Wallace,26,ARI,FS,7,5,1,2,0,2,4,0,0,0,0,0,0.0,43,26,17,1,0,0,,WallKV00
246,K'Von Wallace,26,TEN,S,10,7,0,0,0,0,2,0,0,0,0,0,0.0,46,36,10,0,1,0,,WallKV00
247,Christian Barmore,24,NWE,DL,17,6,0,0,0,0,6,1,0,0,0,0,8.5,64,39,25,13,16,0,,BarmCh00
248,Zack Baun,27,NOR,RLB,17,6,1,10,0,10,2,0,1,0,0,0,2.0,30,20,10,4,4,0,,BaunZa00
249,Arnold Ebiketie,24,ATL,OLB,17,6,0,0,0,0,1,2,0,0,0,0,6.0,25,16,9,3,12,0,,EbikAr00
250,Elijah Hicks,24,CHI,DB,17,6,0,0,0,0,1,0,0,0,0,0,0.0,35,20,15,0,0,0,,HickEl00
251,Javon Kinlaw,26,SFO,DT,17,6,0,0,0,0,3,0,0,0,0,0,3.5,25,13,12,4,6,0,,KinlJa00
252,Damarri Mathis,24,DEN,CB,17,6,0,0,0,0,1,0,0,0,0,0,0.0,35,26,9,2,0,0,,MathDa00
253,Ifeatu Melifonwu,24,DET,S,17,6,2,35,0,24,8,1,0,0,0,0,3.0,33,24,9,4,5,0,,MeliIf00
254,Isaiah Oliver,27,SFO,DB,17,6,1,3,0,3,2,0,0,1,0,0,0.0,67,48,19,2,3,0,,OlivIs00
255,Troy Reeder,29,LAR,LB,17,6,0,0,0,0,0,0,0,0,0,0,0.0,23,11,12,0,0,0,,ReedTr01
256,Jonnu Smith,28,ATL,TE,17,6,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,SmitJo01
257,Jerry Tillery,27,LVR,RDE,17,6,0,0,0,0,0,0,0,1,0,0,2.0,31,11,20,2,6,0,,TillJe00
258,Jalen Tolbert,24,DAL,WR,17,6,0,0,0,0,0,0,1,0,0,0,0.0,4,4,0,0,0,0,,TolbJa00
259,Robert Tonyan,29,CHI,TE,17,6,0,0,0,0,0,0,0,1,0,0,0.0,2,1,1,0,0,0,,TonyRo00
260,Tracy Walker,28,DET,SS,17,6,0,0,0,0,2,1,0,0,0,0,1.0,59,42,17,1,3,0,,WalkTr01
261,Zachary Carter,24,CIN,DT,17,5,0,0,0,0,1,1,0,0,0,0,0.0,23,8,15,1,2,0,,CartZa00
262,Andre Chachere,27,ARI,CB,17,5,0,0,0,0,3,0,0,0,0,0,0.0,30,23,7,0,0,0,,ChacAn00
263,Ashtyn Davis,27,NYJ,S,17,5,3,66,0,51,8,0,1,3,-3,0,0.0,37,23,14,3,0,0,,DaviAs00
264,Mike Edwards,27,KAN,S,17,5,1,16,0,16,5,0,0,2,101,1,1.0,51,32,19,2,1,0,,EdwaMi01
265,Ezekiel Elliott,28,NWE,RB,17,5,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,ElliEz00
266,Kamu Grugier-Hill,29,CAR,LB,17,5,1,31,0,31,2,0,0,0,0,0,1.0,56,31,25,2,1,0,,GrugKa00
267,C.J. Ham,30,MIN,FB,17,5,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,PB,HamxC.00
268,Jonathan Harris,27,DEN,DL,17,5,0,0,0,0,0,0,0,0,0,0,1.0,43,26,17,4,4,0,,HarrJo05
269,David Mayo,30,WAS,LB,17,5,0,0,0,0,0,0,0,0,0,0,2.0,59,39,20,6,2,0,,MayoDa00
270,Chris Moore,30,TEN,WR,17,5,0,0,0,0,0,1,1,0,0,0,0.0,2,1,1,0,0,0,,MoorCh00
271,Duke Riley,29,MIA,LB,17,5,0,0,0,0,1,1,0,0,0,0,0.5,42,30,12,0,2,0,,RileDu00
272,Christian Rozeboom,26,LAR,LB,17,5,1,0,0,0,4,0,0,0,0,0,0.0,79,48,31,2,2,0,,RozeCh00
273,Darrell Taylor,26,SEA,LB,17,5,0,0,0,0,1,0,0,0,0,0,5.5,28,17,11,7,8,0,,TaylDa00
274,Devonte Wyatt,25,GNB,DL,17,5,0,0,0,0,0,0,0,1,0,0,5.5,36,18,18,6,11,0,,WyatDe00
275,John Bates,26,WAS,TE,17,4,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,BateJo00
276,D'Anthony Bell,27,CLE,S,17,4,2,8,0,6,4,1,0,0,0,0,0.0,28,25,3,4,1,0,,BellDA03
277,Matt Breida,28,NYG,RB,17,4,0,0,0,0,0,0,1,0,0,0,0.0,2,2,0,0,0,0,,BreiMa00
278,Ty Chandler,25,MIN,RB,17,4,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,ChanTy01
279,Kingsley Enagbare,23,GNB,LB,17,4,0,0,0,0,1,1,0,1,0,0,2.0,37,27,10,8,6,0,,EnagKi00
280,Tony Fields,24,CLE,LB,17,4,0,0,0,0,0,0,0,1,0,1,0.0,34,16,18,0,0,0,,FielTo00
281,Morgan Fox,29,LAC,DL,17,4,0,0,0,0,0,0,0,0,0,0,5.5,15,11,4,5,10,0,,FoxxMo00
282,Sam Franklin,27,CAR,S,17,4,1,99,1,99,3,0,0,0,0,0,0.0,30,20,10,0,0,0,,FranSa00
283,KhaDarel Hodge,28,ATL,WR,17,4,0,0,0,0,0,0,1,2,-1,0,0.0,4,3,1,0,0,0,,HodgKh00
284,Christian Izien,23,TAM,S,17,4,2,18,0,14,2,1,0,0,0,0,0.0,65,47,18,3,2,0,,IzieCh00
285,Michael Jackson,26,SEA,CB,17,4,0,0,0,0,5,0,0,0,0,0,0.0,34,28,6,2,0,0,,JackMi01
286,Patrick Jones II,25,MIN,OLB,17,4,0,0,0,0,0,0,0,0,0,0,1.0,32,22,10,5,8,0,,JonePa00
287,Ryan Neuzil,26,ATL,OL,17,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,NeuzRy00
288,Kelee Ringo,21,PHI,CB,17,4,1,0,0,0,2,0,0,1,0,0,1.0,21,17,4,0,1,0,,RingKe00
289,Drew Sanders,21,DEN,LB,17,4,0,0,0,0,0,0,0,1,0,0,0.0,24,13,11,1,0,0,,SandDr00
290,Tyler Scott,22,CHI,WR,17,4,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,ScotTy00
291,Isaiah Simmons,25,NYG,S,17,4,1,54,1,54,3,1,0,1,1,0,1.0,50,33,17,2,1,0,,SimmIs00
292,Kobie Turner,24,LAR,NT,17,4,0,0,0,0,2,0,0,0,0,0,9.0,57,29,28,8,16,0,AP DRoY-3,TurnKo00
293,Zamir White,24,LVR,RB,17,4,0,0,0,0,0,0,1,0,0,0,0.0,2,1,1,0,0,0,,WhitZa01
294,Mitchell Wilcox,27,CIN,TE,17,4,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,,WilcMi01
295,Nelson Agholor,30,BAL,WR,17,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,AghoNe00
296,Blake Bell,32,KAN,TE,17,3,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,,BellBl00
297,Michael Burton,31,DEN,FB,17,3,0,0,0,0,0,1,0,0,0,0,0.0,4,3,1,0,0,0,,BurtMi00
298,Tre Flowers,28,ATL,CB,17,3,0,0,0,0,2,0,0,0,0,0,0.0,21,15,6,1,0,0,,FlowTr01
299,Xavier Gipson,22,NYJ,WR,17,3,0,0,0,0,0,0,5,1,0,0,0.0,1,1,0,0,0,0,,GipsXa00
300,Chauncey Golston,25,DAL,DE,17,3,0,0,0,0,0,1,0,0,0,0,1.5,25,11,14,1,3,0,,GolsCh00
301,Tre Hawkins,23,NYG,CB,17,3,0,0,0,0,1,0,0,0,0,0,0.0,35,24,11,0,0,0,,HawkTr00
302,Josh Jobe,25,PHI,CB,17,3,0,0,0,0,4,1,0,0,0,0,0.0,22,20,2,0,0,0,,JobeJo00
303,Joshua Kelley,26,LAC,RB,17,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,KellJo01
304,Nick McCloud,25,NYG,CB,17,3,1,0,0,0,2,3,1,3,1,0,0.0,28,20,8,0,0,0,,McClNi00
305,Jaleel McLaughlin,23,DEN,RB,17,3,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,McLaJa00
306,Nick Niemann,26,LAC,LB,17,3,0,0,0,0,1,0,1,1,-2,0,0.0,40,22,18,1,1,0,,NiemNi00
307,Kalif Raymond,29,DET,WR,17,3,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,RaymKa00
308,Hunter Renfrow,28,LVR,WR,17,3,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,RenfHu00
309,Malcolm Rodriguez,24,DET,LB,17,3,0,0,0,0,0,1,0,0,0,0,0.0,21,13,8,0,0,0,,RodrMa00
310,Jamien Sherwood,23,NYJ,LB,17,3,0,0,0,0,1,1,0,0,0,0,0.0,46,28,18,3,0,0,,SherJa00
311,Mazi Smith,22,DAL,DT,17,3,0,0,0,0,0,0,0,0,0,0,1.0,13,9,4,3,3,0,,SmitMa06
312,Solomon Thomas,28,NYJ,DL,17,3,0,0,0,0,1,0,0,0,0,0,5.0,31,15,16,7,6,0,,ThomSo00
313,Brent Urban,32,BAL,DE,17,3,0,0,0,0,2,0,0,1,0,0,3.0,22,16,6,5,6,0,,UrbaBr00
314,Dane Belton,23,NYG,S,17,2,2,22,0,20,2,0,0,1,2,0,1.0,33,22,11,3,2,0,,BeltDa00
315,Nick Cross,22,IND,S,17,2,1,18,0,18,2,0,0,0,0,0,0.0,39,24,15,1,0,0,,CrosNi00
316,Derius Davis,23,LAC,WR,17,2,0,0,0,0,0,0,3,2,0,0,0.0,0,0,0,0,0,0,AP-2,DaviDe02
317,Dee Delaney,28,TAM,DB,17,2,2,4,0,4,5,0,0,0,0,0,0.0,25,17,8,1,0,0,,DelaDe00
318,Greg Gaines,27,TAM,DL,17,2,0,0,0,0,0,0,0,1,0,0,1.0,24,7,17,0,5,0,,GainGr00
319,Will Harris,28,DET,CB,17,2,1,0,0,0,2,0,0,1,3,0,0.0,18,12,6,1,1,0,,HarrWi02
320,Jerry Hughes,35,HOU,DE,17,2,0,0,0,0,0,1,0,0,0,0,3.0,32,23,9,4,3,0,,HughJe99
321,Tim Jones,25,JAX,WR,17,2,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,,JoneTi00
322,Jeremiah Ledbetter,29,JAX,DL,17,2,0,0,0,0,1,0,0,1,0,0,0.0,24,7,17,1,1,0,,LedbJe00
323,Chad Muma,24,JAX,LB,17,2,0,0,0,0,2,0,0,0,0,0,0.0,15,8,7,0,0,0,,MumaCh00
324,Brandon Powell,28,MIN,WR,17,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,,PoweBr00
325,John Ridgeway,24,WAS,DT,17,2,0,0,0,0,1,0,0,0,0,0,0.0,31,16,15,0,0,0,,RidgJo00
326,Mark Robinson,24,PIT,LB,17,2,0,0,0,0,0,1,0,0,0,0,1.0,30,22,8,1,1,0,,RobiMa03
327,Cameron Sample,24,CIN,DE,17,2,0,0,0,0,1,0,0,0,0,0,1.5,29,18,11,1,8,0,,SampCa00
328,Tim Settle,26,BUF,DT,17,2,0,0,0,0,0,0,0,0,0,0,1.0,14,9,5,1,2,0,,SettTi00
329,Chandon Sullivan,27,PIT,CB,17,2,1,0,0,0,6,1,0,0,0,0,0.0,22,14,8,1,0,0,,SullCh00
330,Dorian Williams,22,BUF,LB,17,2,0,0,0,0,1,0,0,0,0,0,0.0,40,25,15,0,2,0,,WillDo04
331,Andrew Wingard,27,JAX,S,17,2,1,0,0,0,2,1,0,0,0,0,0.0,45,35,10,1,1,0,,WingAn01
332,Charlie Woerner,26,SFO,TE,17,2,0,0,0,0,0,0,0,0,0,0,0.0,10,6,4,0,0,0,,WoerCh00
333,Matthew Adams,28,CLE,LB,17,1,0,0,0,0,0,1,0,0,0,0,0.0,17,11,6,0,0,0,,AdamMa00
334,Dorance Armstrong Jr.,26,DAL,DE,17,1,0,0,0,0,1,0,0,0,0,0,7.5,38,20,18,7,12,0,,ArmsDo00
335,Calvin Austin III,24,PIT,WR,17,1,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,,AustCa00
336,Justin Bethel,33,MIA,CB,17,1,0,0,0,0,1,0,0,0,0,0,0.5,19,15,4,2,1,0,,BethJu00
337,Andrew Booth,23,MIN,CB,17,1,0,0,0,0,1,0,0,0,0,0,0.0,8,7,1,0,0,0,,BootAn00
338,Dyami Brown,24,WAS,WR,17,1,0,0,0,0,0,0,0,1,0,0,0.0,3,2,1,0,0,0,,BrowDy00
339,DeAndre Carter,30,LVR,WR,17,1,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0,0,0,0,,CartDe02
340,Lorenzo Carter,28,ATL,OLB,17,1,0,0,0,0,1,1,0,2,19,0,3.0,35,24,11,6,9,0,,CartLo01
341,Jack Cochrane,24,KAN,LB,17,1,0,0,0,0,1,0,0,0,0,0,0.0,28,21,7,2,0,0,,CochJa00
342,Gervon Dexter,22,CHI,DL,17,1,0,0,0,0,2,0,0,0,0,0,2.5,20,13,7,0,12,0,,DextGe00
343,Kevin Givens,26,SFO,DL,17,1,0,0,0,0,1,0,0,1,0,0,1.5,22,12,10,3,4,0,,GiveKe01
344,Kurt Hinish,24,HOU,DT,17,1,0,0,0,0,1,0,0,0,0,0,0.5,22,11,11,2,2,0,,HiniKu00
345,Ka'dar Hollman,29,HOU,CB,17,1,0,0,0,0,0,0,0,1,0,0,0.0,10,6,4,0,0,0,,HollKa00
346,Cam Jones,24,KAN,LB,17,1,0,0,0,0,0,0,0,0,0,0,0.0,17,14,3,0,0,0,,JoneCa04
347,Miles Killebrew,30,PIT,DB,17,1,0,0,0,0,0,0,0,0,0,0,0.0,26,21,5,1,1,1,"PB,AP-1",KillMi00
348,Marte Mapu,24,NWE,LB,17,1,1,20,0,20,1,1,0,0,0,0,0.0,18,12,6,0,0,0,,MapuMa00
349,Dayo Odeyingbo,24,IND,DE,17,1,0,0,0,0,2,2,0,2,0,0,8.0,38,22,16,9,17,0,,OdeyDa00
350,Samaje Perine,28,DEN,RB,17,1,0,0,0,0,0,0,3,0,-10,0,0.0,0,0,0,0,0,0,,PeriSa00
351,Adrian Phillips,31,NWE,DE,17,1,0,0,0,0,0,0,0,0,0,0,0.0,17,10,7,0,0,0,,PhilAd00
352,Del'Shawn Phillips,27,BAL,LB,17,1,0,0,0,0,0,1,0,1,0,0,0.0,24,11,13,1,0,0,,PhilDe00
353,Byron Pringle,30,WAS,WR,17,1,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,,PrinBy00
354,LaBryan Ray,26,CAR,DT,17,1,0,0,0,0,0,0,0,0,0,0,0.0,19,7,12,0,0,0,,RayxLa02
355,Tavius Robinson,24,BAL,OLB,17,1,0,0,0,0,0,0,0,0,0,0,1.0,26,13,13,2,1,0,,RobiTa00
356,Trent Sherfield,27,BUF,WR,17,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0,0,0,,SherTr00
357,Tyjae Spears,22,TEN,RB,17,1,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,,SpeaTy00
358,Pierre Strong,25,CLE,RB,17,1,0,0,0,0,0,1,1,0,0,0,0.0,8,6,2,0,0,0,,StroPi00
359,Deven Thompkins,24,TAM,WR,17,1,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,,ThomDe07
360,Tershawn Wharton,25,KAN,DT,17,1,0,0,0,0,0,0,0,1,0,0,2.0,21,7,14,2,5,0,,WharTe00
361,Mack Wilson,25,NWE,LB,17,1,0,0,0,0,3,2,0,0,0,0,3.5,37,24,13,4,4,0,,WilsMa03
362,Ameer Abdullah,30,LVR,RB,17,0,0,0,0,0,0,0,0,0,0,0,0.0,12,10,2,0,0,0,,AbduAm00
363,Cal Adomitis,25,CIN,LS,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,AdomCa00
364,Ugo Amadi,26,NOR,S,17,0,0,0,0,0,2,0,0,0,0,0,0.0,12,6,6,0,0,0,,AmadUg00
365,Tremayne Anchrum,25,LAR,G,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,AnchTr00
366,Bryan Anger,35,DAL,P,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,"PB,AP-2",AngeBr00
367,Felix Anudike-Uzomah,21,KAN,DE,17,0,0,0,0,0,0,1,0,0,0,0,0.5,14,8,6,2,7,0,,AnudFe00
368,Markus Bailey,26,CIN,LB,17,0,0,0,0,0,0,0,0,0,0,0,0.0,10,6,4,0,0,0,,BailMa01
369,Bryce Baringer,24,NWE,P,17,0,0,0,0,0,0,0,0,1,3,0,0.0,1,1,0,0,0,0,,BariBr00
370,Tyler Bass,26,BUF,K,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,BassTy00
371,Ronnie Bell,23,SFO,WR,17,0,0,0,0,0,0,0,1,1,8,0,0.0,3,2,1,0,0,0,,BellRo01
372,Tank Bigsby,22,JAX,RB,17,0,0,0,0,0,0,0,2,1,-9,0,0.0,0,0,0,0,0,0,,BigsTa00
373,Chris Board,28,NWE,LB,17,0,0,0,0,0,0,0,0,0,0,0,0.0,10,7,3,0,0,0,,BoarCh00
374,Jacob Bobenmoyer,26,LVR,LS,17,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,,BobeJa00
375,Brandon Bolden,33,LVR,RB,17,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,,BoldBr00
376,Miles Boykin,27,PIT,WR,17,0,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,,BoykMi00
377,Bryan Bresee,22,NOR,DT,17,0,0,0,0,0,6,0,0,0,0,0,4.5,24,12,12,7,9,0,,BresBr00
378,Karl Brooks,23,GNB,DL,17,0,0,0,0,0,4,1,0,2,0,0,4.0,20,12,8,6,5,0,,BrooKa00
379,Adam Butler,29,LVR,DT,17,0,0,0,0,0,4,1,0,0,0,0,5.0,28,16,12,8,9,0,,ButlAd00
380,Jake Camarda,24,TAM,P,17,0,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0,0,0,,CamaJa00
381,Joe Cardona,31,NWE,LS,17,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0,0,0,,CardJo00
382,Anders Carlson,25,GNB,K,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,CarlAn00
383,Daniel Carlson,28,LVR,K,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,CarlDa00
384,K'Lavon Chaisson,24,JAX,OLB,17,0,0,0,0,0,1,0,0,0,0,0,2.0,13,9,4,4,8,0,,ChaiKL00
385,Carter Coughlin,26,NYG,LB,17,0,0,0,0,0,0,0,0,0,0,0,0.0,9,9,0,0,0,0,,CougCa00
386,Morgan Cox,37,TEN,LS,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,CoxxMo00
387,Jamison Crowder,30,WAS,WR,17,0,0,0,0,0,0,0,2,1,2,0,0.0,0,0,0,0,0,0,,CrowJa00
388,DeeJay Dallas,25,SEA,RB,17,0,0,0,0,0,0,0,2,0,0,0,0.0,3,0,3,0,0,0,,DallDe00
389,Trevor Denbow,25,IND,S,17,0,0,0,0,0,0,0,0,0,0,0,0.0,12,9,3,0,0,0,,DenbTr00
