Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Player-additional
42,Robert Hainsey,25,TAM,C,17,17,0,0,0,0,0,0,1,2,2,0,0.0,0,0,0,0,0,0,,HainRo00
43,Najee Harris,25,PIT,RB,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,,HarrNa00
44,Trey Hendrickson,29,CIN,DE,17,17,0,0,0,0,3,3,0,0,0,0,17.5,43,28,15,16,25,0,PB,HendTr00
45,Derrick Henry,29,TEN,RB,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,PB,HenrDe00
46,Alex Highsmith,26,PIT,LB,17,17,2,30,1,30,3,2,0,0,0,0,7.0,57,34,23,8,18,0,,HighAl02
47,B.J. Hill,28,CIN,DT,17,17,2,0,0,0,5,0,0,1,0,0,4.5,51,26,25,2,21,0,,HillB.00
48,Daxton Hill,23,CIN,S,17,17,2,20,0,20,11,0,0,0,0,0,1.5,110,72,38,6,5,0,,HillDa04
49,Josh Hines-Allen,26,JAX,OLB,17,17,1,8,0,8,1,2,0,0,0,0,17.5,66,43,23,17,33,0,PB,AlleJo03
50,Michael Hoecht,26,LAR,OLB,17,17,0,0,0,0,2,1,0,0,0,0,6.0,81,45,36,7,11,0,,HoecMi00
51,Sam Howell,23,WAS,QB,17,17,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,,HoweSa00
52,Creed Humphrey,24,KAN,C,17,17,0,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0,0,0,PB,HumpCr00
53,Danielle Hunter,29,MIN,OLB,17,17,0,0,0,0,2,4,0,0,0,0,16.5,83,54,29,23,22,0,PB,HuntDa01
54,Jalen Hurts,25,PHI,QB,17,17,0,0,0,0,0,0,9,4,-3,0,0.0,0,0,0,0,0,0,PB,HurtJa00
55,Aidan Hutchinson,23,DET,DL,17,17,1,6,0,6,7,3,0,2,0,0,11.5,51,36,15,14,33,0,PB,HutcAi00
