Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,
G,Zack Martin,DAL,33,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",MartZa00
G,Chris Lindstrom,ATL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm",LindCh00
G,Joel Bitonio,CLE,32,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., NFLPA: 1st Tm",BitoJo00
C,Jason Kelce,PHI,36,12,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm",KelcJa00
C,Frank Ragnow,DET,27,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFF: 1st Tm, AP: 2nd Tm",RagnFr00
C,Creed Humphrey,KAN,24,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,HumpCr00
RG,Kevin Dotson,LAR,27,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,DotsKe00
RT,Lane Johnson,PHI,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, NFLPA: 1st Tm, PFF: 2nd Tm",JohnLa01
DL,Derrick Brown,CAR,25,3,17,17,0,0,0,0,0,0,0,0,0,0,0,57,2.0,1,PFF: 2nd Tm,BrowDe05
DL,Nnamdi Madubuike,BAL,26,3,17,17,0,0,0,0,0,0,0,0,0,0,0,38,13.0,0,AP: 2nd Tm,MaduJu00
DE,Myles Garrett,CLE,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,33,14.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",GarrMy00
DE,Maxx Crosby,LVR,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,55,14.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm",CrosMa00
DE,Trey Hendrickson,CIN,29,6,17,17,0,0,0,0,0,0,0,0,0,0,0,28,17.5,0,FW: 1st Tm,HendTr00
DE,Nick Bosa,SFO,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,34,10.5,0,"FW: 1st Tm All-Conf., PFF: 2nd Tm",BosaNi00
DE,Aidan Hutchinson,DET,23,1,17,17,0,0,0,0,0,0,0,0,0,0,0,36,11.5,1,FW: 1st Tm All-Conf.,HutcAi00
DT,Aaron Donald,LAR,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,28,8.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",DonaAa00
DT,Chris Jones,KAN,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,20,10.5,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",JoneCh09
