Pos,Player,Conf,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional
TE,Jake Ferguson+,NFC,DAL,24,1,17,16,0,0,0,0,0,0,0,0,71,761,5,0,0.0,0,,FergJa00
TE,Evan Engram+,AFC,JAX,29,6,17,15,0,0,0,0,0,0,0,0,114,963,4,0,0.0,0,,EngrEv00
T,Trent Williams%,NFC,SFO,35,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",WillTr21
T,Penei Sewell,NFC,DET,23,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",SewePe00
T,Lane Johnson,NFC,PHI,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, NFLPA: 1st Tm, PFF: 2nd Tm",JohnLa01
T,Dion Dawkins,AFC,BUF,29,6,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,DawkDi00
T,Laremy Tunsil,AFC,HOU,29,7,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,TunsLa00
T,Terron Armstead,AFC,MIA,32,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,ArmsTe00
T,Tristan Wirfs+,NFC,TAM,24,3,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,WirfTr00
G,Zack Martin%,NFC,DAL,33,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",MartZa00
G,Joe Thuney%,AFC,KAN,31,7,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",ThunJo00
G,Chris Lindstrom,NFC,ATL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm",LindCh00
G,Joel Bitonio%,AFC,CLE,32,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., NFLPA: 1st Tm",BitoJo00
G,Tyler Smith+,NFC,DAL,22,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, NFLPA: 1st Tm, PFF: 2nd Tm",SmitTy02
G,Wyatt Teller+,AFC,CLE,29,5,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,TellWy00
G,Quenton Nelson,AFC,IND,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,NelsQu00
G,Landon Dickerson,NFC,PHI,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,DickLa00
G,Kevin Zeitler+,AFC,BAL,33,11,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,ZeitKe00
C,Jason Kelce,NFC,PHI,36,12,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm",KelcJa00
C,Frank Ragnow%,NFC,DET,27,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFF: 1st Tm, AP: 2nd Tm",RagnFr00
C,Creed Humphrey%,AFC,KAN,24,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,HumpCr00
C,Ryan Kelly+,AFC,IND,30,7,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,KellRy00
C,Erik McCoy+,NFC,NOR,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,McCoEr01
C,Tyler Linderbaum,AFC,BAL,23,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,LindTy00
DE,Myles Garrett,AFC,CLE,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,33,14.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",GarrMy00
DE,Maxx Crosby%,AFC,LVR,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,55,14.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm",CrosMa00
DE,Trey Hendrickson,AFC,CIN,29,6,17,17,0,0,0,0,0,0,0,0,0,0,0,28,17.5,0,FW: 1st Tm,HendTr00
DE,Nick Bosa%,NFC,SFO,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,34,10.5,0,"FW: 1st Tm All-Conf., PFF: 2nd Tm",BosaNi00
DE,Aidan Hutchinson,NFC,DET,23,1,17,17,0,0,0,0,0,0,0,0,0,0,0,36,11.5,1,FW: 1st Tm All-Conf.,HutcAi00
DE,Montez Sweat,NFC,2TM,27,4,17,17,0,0,0,0,0,0,0,0,0,0,0,38,12.5,0,,SweaMo00
DE,DeMarcus Lawrence+,NFC,DAL,31,9,17,17,0,0,0,0,0,0,0,0,0,0,0,29,4.0,0,,LawrDe00
DE,Will Anderson+,AFC,HOU,22,Rook,15,13,0,0,0,0,0,0,0,0,0,0,0,29,7.0,0,,AndeWi01
DT,Aaron Donald%,NFC,LAR,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,28,8.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",DonaAa00
DT,Chris Jones%,AFC,KAN,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,20,10.5,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",JoneCh09
DT,Dexter Lawrence,NFC,NYG,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,32,4.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm, PFF: 1st Tm",LawrDe03
DT,Quinnen Williams,AFC,NYJ,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,39,5.5,1,"FW: 1st Tm All-Conf., PFF: 2nd Tm",WillQu00
DT,Derrick Brown+,NFC,CAR,25,3,17,17,0,0,0,0,0,0,0,0,0,0,0,57,2.0,1,PFF: 2nd Tm,BrowDe05
DT,Nnamdi Madubuike,AFC,BAL,26,3,17,17,0,0,0,0,0,0,0,0,0,0,0,38,13.0,0,AP: 2nd Tm,MaduJu00
DT,DeForest Buckner+,AFC,IND,29,7,17,16,0,0,0,0,0,0,0,0,0,0,0,45,8.0,0,,BuckDe00
DT,Kenny Clark+,NFC,GNB,28,7,17,17,0,0,0,0,0,0,0,0,0,0,0,22,7.5,0,,ClarKe01
DT,Javon Hargrave%,NFC,SFO,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,25,7.0,0,,HargJa00
OLB,Micah Parsons,NFC,DAL,24,2,17,17,0,0,0,0,0,0,0,0,0,0,0,36,14.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",ParsMi00
OLB,T.J. Watt%,AFC,PIT,29,6,17,17,0,0,0,0,0,0,0,0,0,0,0,48,19.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",WattT.00
OLB,Josh Hines-Allen,AFC,JAX,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,43,17.5,1,FW: 1st Tm All-Conf.,AlleJo03
OLB,Danielle Hunter,NFC,MIN,29,8,17,17,0,0,0,0,0,0,0,0,0,0,0,54,16.5,0,FW: 1st Tm All-Conf.,HuntDa01
OLB,Jeremiah Owusu-Koramoah+,AFC,CLE,24,2,16,13,0,0,0,0,0,0,0,0,0,0,0,72,3.5,2,,OwusJe00
OLB,Jermaine Johnson II+,AFC,NYJ,24,1,17,17,0,0,0,0,0,0,0,0,0,0,0,36,7.5,1,,JohnJe07
